i           est         relError    timeMs      
1           5735        0.027       27          
2           5729        0.028       25          
3           5984        0.015       28          
4           6157        0.045       31          
5           5859        0.006       17          
6           6090        0.033       17          
7           5952        0.010       17          
8           6135        0.041       25          
9           6249        0.060       30          
10          5694        0.034       23          
11          5734        0.027       22          
12          6089        0.033       22          
13          5861        0.005       29          
14          5835        0.010       23          
15          6024        0.022       22          
16          5789        0.018       21          
17          5929        0.006       28          
18          5877        0.003       31          
19          5982        0.015       24          
20          6259        0.062       22          
21          5698        0.033       20          
22          6141        0.042       22          
23          5679        0.036       21          
24          5806        0.015       21          
25          5930        0.006       20          
26          5851        0.007       20          
27          5770        0.021       23          
28          5719        0.030       17          
29          5787        0.018       26          
30          6084        0.032       30          
31          6036        0.024       17          
32          5539        0.060       19          
33          5824        0.012       28          
34          5979        0.015       23          
35          5979        0.015       22          
36          5957        0.011       21          
37          5775        0.020       20          
38          5949        0.010       22          
39          5711        0.031       21          
40          6057        0.028       21          
41          5869        0.004       28          
42          6077        0.031       23          
43          5972        0.013       20          
44          5842        0.009       22          
45          6167        0.046       21          
46          5654        0.041       21          
47          5948        0.009       28          
48          6120        0.039       24          
49          6194        0.051       22          
50          6051        0.027       21          
51          6118        0.038       17          
52          5629        0.045       32          
53          5884        0.002       25          
54          5972        0.013       22          
55          5742        0.026       22          
56          6003        0.019       28          
57          5506        0.066       24          
58          5752        0.024       22          
59          5980        0.015       17          
60          5757        0.023       17          
61          5835        0.010       27          
62          6091        0.034       23          
63          5904        0.002       21          
64          5773        0.020       29          
65          6059        0.028       17          
66          5890        0.001       28          
67          5935        0.007       17          
68          5920        0.005       25          
69          5984        0.015       22          
70          5965        0.012       17          
71          6074        0.031       23          
72          5804        0.015       17          
73          5897        0.001       25          
74          5883        0.002       22          
75          6131        0.040       22          
76          6008        0.020       22          
77          5601        0.050       23          
78          5824        0.012       27          
79          6005        0.019       26          
80          5675        0.037       17          
81          6015        0.021       18          
82          5920        0.005       17          
83          5582        0.053       30          
84          5690        0.034       25          
85          5813        0.014       30          
86          5918        0.004       17          
87          5660        0.040       17          
88          5733        0.027       22          
89          5975        0.014       21          
90          6096        0.034       21          
91          5775        0.020       22          
92          5757        0.023       21          
93          5831        0.011       29          
94          5917        0.004       17          
95          5656        0.040       26          
96          5947        0.009       23          
97          5870        0.004       17          
98          6098        0.035       23          
99          5885        0.001       17          
100         5890        0.001       28          
