i              est            relError       timeMs         
1              17507          0.006          38.402         
2              16951          0.038          41.397         
3              18024          0.023          39.286         
4              18227          0.034          39.745         
5              17610          0.001          44.442         
6              17457          0.009          38.043         
7              17241          0.022          38.045         
8              17294          0.019          43.906         
9              17656          0.002          39.071         
10             18405          0.045          44.279         
11             17124          0.028          34.800         
12             17652          0.002          39.603         
13             16417          0.068          42.496         
14             18002          0.022          40.561         
15             16584          0.059          37.284         
16             17176          0.025          34.917         
17             16590          0.058          37.585         
18             16662          0.054          35.410         
19             17521          0.006          34.064         
20             18127          0.029          34.787         
21             17528          0.005          38.854         
22             17185          0.025          43.008         
23             17040          0.033          39.363         
24             17686          0.004          44.269         
25             18690          0.061          39.514         
26             17611          0.001          44.051         
27             17200          0.024          39.507         
28             17589          0.002          45.081         
29             17923          0.017          36.474         
30             18171          0.031          39.342         
31             18986          0.078          43.869         
32             18055          0.025          38.591         
33             17702          0.005          44.326         
34             18200          0.033          46.774         
35             17952          0.019          39.981         
36             16929          0.039          44.813         
37             18062          0.025          39.036         
38             17317          0.017          37.329         
39             18689          0.061          44.406         
40             17338          0.016          38.865         
41             17160          0.026          45.947         
42             17541          0.004          42.852         
43             18014          0.022          41.474         
44             18019          0.023          40.935         
45             17991          0.021          41.146         
46             17521          0.006          38.702         
47             18257          0.036          41.028         
48             18196          0.033          40.709         
49             17518          0.006          37.898         
50             18077          0.026          44.524         
51             17516          0.006          46.341         
52             17165          0.026          40.110         
53             17683          0.004          44.324         
54             17813          0.011          36.668         
55             18087          0.027          38.149         
56             17042          0.033          34.689         
57             17553          0.004          36.238         
58             17267          0.020          43.543         
59             17976          0.020          40.423         
60             17143          0.027          37.636         
61             17609          0.001          34.616         
62             17112          0.029          37.429         
63             17465          0.009          43.435         
64             17754          0.008          46.303         
65             16847          0.044          40.337         
66             17577          0.002          44.845         
67             17467          0.009          36.180         
68             17228          0.022          38.580         
69             17870          0.014          36.975         
70             17201          0.024          44.049         
71             17721          0.006          39.165         
72             17006          0.035          44.361         
73             17927          0.017          38.087         
74             18521          0.051          37.670         
75             17342          0.016          44.187         
76             16721          0.051          37.904         
77             17230          0.022          37.373         
78             17532          0.005          43.818         
79             17865          0.014          38.675         
80             17960          0.019          34.946         
81             18328          0.040          37.635         
82             17959          0.019          44.210         
83             16679          0.053          37.534         
84             18814          0.068          37.924         
85             18386          0.043          44.036         
86             17125          0.028          34.680         
87             17754          0.008          41.693         
88             17475          0.008          43.403         
89             17623          0.000          38.576         
90             17414          0.012          34.549         
91             17170          0.026          45.422         
92             17397          0.013          40.119         
93             17108          0.029          44.204         
94             18511          0.051          46.449         
95             17490          0.007          39.860         
